rideable_type,started_at,start_date,start_day_of_the_week,start_time,ended_at,end_date,end_day_of_the_week,end_time,start_station_name,end_station_name
classic_bike,3/14/2024 13:19,3/14/2024,Thursday,13:19:00,3/14/2024 13:25,3/14/2024,Thursday,13:25:00,Michigan Ave & Madison St,Michigan Ave & Ida B Wells Dr
classic_bike,3/24/2024 17:17,3/24/2024,Sunday,17:17:00,3/24/2024 18:08,3/24/2024,Sunday,18:08:00,Wabash Ave & Adams St,Michigan Ave & Ida B Wells Dr
classic_bike,3/25/2024 16:53,3/25/2024,Monday,16:53:00,3/25/2024 16:57,3/25/2024,Monday,16:57:00,Michigan Ave & Madison St,Michigan Ave & Ida B Wells Dr
electric_bike,3/13/2024 17:02,3/13/2024,Wednesday,17:02:00,3/13/2024 17:32,3/13/2024,Wednesday,17:32:00,Clark St & Lincoln Ave,Michigan Ave & Ida B Wells Dr
classic_bike,3/28/2024 8:46,3/28/2024,Thursday,8:46:00,3/28/2024 8:55,3/28/2024,Thursday,8:55:00,Michigan Ave & 14th St,Michigan Ave & Ida B Wells Dr
classic_bike,3/7/2024 17:54,3/7/2024,Thursday,17:54:00,3/7/2024 18:00,3/7/2024,Thursday,18:00:00,Wabash Ave & Roosevelt Rd,Michigan Ave & Ida B Wells Dr
classic_bike,3/11/2024 13:51,3/11/2024,Monday,13:51:00,3/11/2024 13:59,3/11/2024,Monday,13:59:00,Michigan Ave & 14th St,Michigan Ave & Ida B Wells Dr
classic_bike,3/3/2024 15:45,3/3/2024,Sunday,15:45:00,3/3/2024 15:55,3/3/2024,Sunday,15:55:00,Wabash Ave & Roosevelt Rd,Michigan Ave & Ida B Wells Dr
electric_bike,3/13/2024 17:02,3/13/2024,Wednesday,17:02:00,3/13/2024 17:32,3/13/2024,Wednesday,17:32:00,Clark St & Lincoln Ave,Michigan Ave & Ida B Wells Dr
classic_bike,3/12/2024 13:27,3/12/2024,Tuesday,13:27:00,3/12/2024 14:22,3/12/2024,Tuesday,14:22:00,Broadway & Barry Ave,Michigan Ave & Ida B Wells Dr
electric_bike,3/30/2024 12:46,3/30/2024,Saturday,12:46:00,3/30/2024 13:11,3/30/2024,Saturday,13:11:00,Lincoln Park Conservatory,Michigan Ave & Ida B Wells Dr
classic_bike,3/2/2024 12:53,3/2/2024,Saturday,12:53:00,3/2/2024 13:08,3/2/2024,Saturday,13:08:00,State St & Chicago Ave,Michigan Ave & Ida B Wells Dr
